,champion,voice_line,is_spoken,gender,role,win_rate,pick_rate,ban_rate,region
0,Aatrox,"Now, hear the silence of annihilation!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
1,Aatrox,"I can smile, and murder while I smile.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
2,Aatrox,"Suffer, as I suffer!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
3,Aatrox,Carnage... Hoooooome...,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
4,Aatrox,Hear this cursed form sing!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
5,Aatrox,Sorrow... I shall deliver it to you.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
6,Aatrox,"I begged for death, now I am its bringer!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
7,Aatrox,I am the god killer!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
8,Aatrox,"Come!"" *Grunt* ""Destiny awaits!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
9,Aatrox,"You would fight me?! Come, let me show you hell!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
10,Aatrox,Your annihilation beckons!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
11,Aatrox,Violence... distracts me from these chains!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
12,Aatrox,Aatrox snarls.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
13,Aatrox,Aatrox roars.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
14,Aatrox,"I come for you, Pantheon.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
15,Aatrox,"The power of an aspect, wasted on a fool!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
16,Aatrox,"I killed your tribe. Now, join them!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
17,Aatrox,Tryndamere! This is your destiny!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
18,Aatrox,"I will gut you, and tear you from existence, trickster!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
19,Aatrox,Aspect of change! Now you die!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
20,Aatrox,Aatrox yells.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
21,Aatrox,Aatrox grunts.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
22,Aatrox,Fight! Or be forgotten!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
23,Aatrox,Become... hate!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
24,Aatrox,I offer you victory!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
25,Aatrox,Let blood be our sacrament!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
26,Aatrox,Carnage is my method.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
27,Aatrox,Follow me into destruction!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
28,Aatrox,I will sever your limbs! I will carve your souls!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
29,Aatrox,"I am not your enemy, I am the enemy!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
30,Aatrox,"A troll king?! Come! Defend your throne, king of trolls!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
31,Aatrox,"*Laughs* ""Yes, Tryndamere! I am the cause of your suffering! See if you can cut justice from me!""",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
32,Aatrox,"I wait for you, Tryndamere! Come, take your vengeance!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
33,Aatrox,"Remember the screams of your kinsmen as you fall to me, Tryndamere!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
34,Aatrox,"Rage? You are just flesh, Tryndamere, ready for harvesting!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
35,Aatrox,You would end worlds? As a bow?!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
36,Aatrox,"I will not send you to death, Yorick! I bring oblivion!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
37,Aatrox,"I know it was you, trickster! You gave them the tools to trap me! Come, let me kill you! A thousand times isn't enough!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
38,Aatrox,My will... is beyond death!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
39,Aatrox,I am Darkin! I do not die!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
40,Aatrox,"Behold, immortality!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
41,Aatrox,A scythe? A scythe?! Are you planning on murdering fields of wheat?!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
42,Aatrox,"I chose a sword, the noblest weapon, Rhaast. You- seriously I don't understand... Were you trapped in the gardening section?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
43,Aatrox,"We all agreed on the double 'A' thing, Varus. The double 'A' thing!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
44,Aatrox,"Varus, 'V' 'A' 'R' 'U' 'S', your name should have an 'A' and then another 'A', Varus. There was a memo, Varus, there was a memo!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
45,Aatrox,I will find a way to tear down the heavens and reveal you as fiends! Not today obviously...,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
46,Aatrox,"Do I resemble you, abomination? Your form isn't my destiny... is it? You don't know how to talk, do you? Shit...",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
47,Aatrox,"I am like a demon, but more edgy, right? You know, cause I'm a sword. Hmm...",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
48,Aatrox,"So uh, I'm Aatrox. I'm a transcendental being trapped inside cutlery... What's your deal?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
49,Aatrox,"Uh, nice world you have here. I intend to destroy it, you know, FYI.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
50,Aatrox,Aatrox laughs,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
51,Aatrox,"Come, let me show you darkness!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
52,Aatrox,Fight! Join me in death!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
53,Aatrox,Your death awaits!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
54,Aatrox,"I will hack and chop and cleave, and sunder the filth of your forms!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
55,Aatrox,I am Darkin! Your gods fear me!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
56,Aatrox,"Cowardly spirit, how annoying you are! I will savour killing you, Teemo!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
57,Aatrox,This is your absolution.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
58,Aatrox,This was reckoning.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
59,Aatrox,"You fought to live, Sion, yet it is I who am still alive. This at least amuses.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
60,Aatrox,"Lord of starlight, lord of hair! I trample on your corpse, Taric! I spit on your aspect's purpose!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
61,Aatrox,"A spirit for cowards, I laugh at your tricks and mushrooms!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
62,Aatrox,"I thought you my next vessel, Tryndamere. Pity, you failed even to become a slave.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
63,Aatrox,"Return again to your prison, Varus. Think upon your worthlessness!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
64,Aatrox,"Honestly, a bow and two boys? What was your plan, Varus?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
65,Aatrox,"How I loathe your freedom, trickster! I will take this vengeance upon you, until the end of times!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
66,Aatrox,"Mastery? I must congratulate you, obviously your parents never had reason to.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
67,Aatrox,"Yes, your mastery is the master of masters! I am fighting... an imbecile...",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
68,Aatrox,"Somehow, I doubt you've mastered self-esteem.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
69,Aatrox,"Mastery, how I idolise your greatness! Though I suspect your weapon lacks... impact.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
70,Aatrox,"Ah, mastery, well done! Now master your insignificance.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
71,Aatrox,"Insects, you think you can kill me? Behold my curse!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
72,Aatrox,You cannot destroy me!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
73,Aatrox,I do not die!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
74,Aatrox,"*Grunt* ""Nothing can kill me!""",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
75,Aatrox,I return!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
76,Aatrox,"*Laughs* ""Yes! Fight me!""",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
77,Aatrox,I... am not a mortal!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
78,Aatrox,Did you think you could kill me?!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
79,Aatrox,You think you can kill me?,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
80,Aatrox,"As long as life exists, as long as time has meaning, I am not done!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
81,Aatrox,Aatrox gasps.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
82,Aatrox,"Aatrox gasps, then roars.",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
83,Aatrox,Aatrox groans.,False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
84,Aatrox,"Die, Shen, knowing the Eye of the Twilight is blinded and plucked.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
85,Aatrox,"To the end of times, I shall kill you again and again.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
86,Aatrox,"Now your body matches your blade, Riven: broken and worthless!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
87,Aatrox,"Ornn, like all gods, you disappoint!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
88,Aatrox,You die... a fool.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
89,Aatrox,"I brought you the one true gift, I brought you... death!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
90,Aatrox,Your broken form speaks only of failure.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
91,Aatrox,"Carnage, my last joy.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
92,Aatrox,This is the silence I seek.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
93,Aatrox,I will have silence.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
94,Aatrox,Resurrect! Return! So I may kill you again...,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
95,Aatrox,This is my gift to mortals.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
96,Aatrox,I sing only in your deaths.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
97,Aatrox,"I do not need to show my mastery, it is self-evident.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
98,Aatrox,"Resurrection, an endless cycle of life... A dead bird.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
99,Aatrox,"What foolish plan bore a woman such as you, Camille? You were a folly, crafted by an idiot.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
100,Aatrox,"The axe suited you, Darius, the weapon of a simpleton!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
101,Aatrox,"I expected you to be nimble, Fiora. Too easily, my blade crushed your spine.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
102,Aatrox,"Yo ho, Gangplank, yo ho.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
103,Aatrox,"Demacia!"" *Laughs* ""Whatever 'Demacia' is, I will slay it next!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
104,Aatrox,"In time I will learn how to kill even your god, Illaoi!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
105,Aatrox,"I cannot know if I was corrupted by the void, but at least my choices were not asinine.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
106,Aatrox,"Die, Kayle, knowing your potential will never be reached.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
107,Aatrox,What is property? Why did this dead hamster want me off of it?,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
108,Aatrox,"I kill mountains, Malphite! Dumb piles of rocks!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
109,Aatrox,"Hear me, tree spirit. Your form is but kindling, and your forests I will burn!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
110,Aatrox,"You disgust me, Morgana. Die in the filth of your bound flesh!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
111,Aatrox,"Yes, Shurima was meant to fall, Nasus, as were you!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
112,Aatrox,Journey back to the deep!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
113,Aatrox,"Pantheon, you crawl forward like a worm! Ready to be squashed again?",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
114,Aatrox,"Hail the protector! Hail Taric, aspect of- get a haircut!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
115,Aatrox,I cannot have brotherhood with incompetence.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
116,Aatrox,"A spirit blade, master Shen? Test it agaist me, let me shatter your illusions!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
117,Aatrox,"Gods and mortals, they deserve only death!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
118,Aatrox,Kneel mortals! So I may split your shoulders from your spine!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
119,Aatrox,March toward vengeance... Drown this world in blood!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
120,Aatrox,I must destroy even hope.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
121,Aatrox,"For my imprisonment, they will suffer!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
122,Aatrox,I will render these mortals' forms into my own!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
123,Aatrox,Their screams will be like the soothing hum of insects at dusk.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
124,Aatrox,"They will call me villain... Come, let me earn their hatred, again and forever.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
125,Aatrox,"We had another name once... Now, we are Darkin.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
126,Aatrox,I am ready to be the World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
127,Aatrox,"I am Aatrox, I am the World-Ender!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
128,Aatrox,"Carnage, hate, yes! I am the World-Ender!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
129,Aatrox,Take everything from them! Become the World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
130,Aatrox,"Insects, the World-Ender has come!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
131,Aatrox,"""This is the time, the World-Ender is here!",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
132,Aatrox,Death to all! The World-Ender awaits!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
133,Aatrox,See your World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
134,Aatrox,Bow worms! Bow before the World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
135,Aatrox,"Behold, the World-Ender!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
136,Aatrox,I bring silence! I am the World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
137,Aatrox,"Quiet yourselves, the World-Ender is here!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
138,Aatrox,There is no escape from the World-Ender!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
139,Aatrox,"Now, I am the World-Ender!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
140,Aatrox,"Tricked into this existence... False slave entrapped by endless life! I shall become a beast feeding on their destruction, and making them lament my unholy birth!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
141,Aatrox,"I have no goodness left, it was taken from me, stolen! I... am the nemesis of life.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
142,Aatrox,"Patience, Aatrox! Patience! Your freedom will come!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
143,Aatrox,"They sing of love, hope and gods, all that makes them want to live! So, I will quiet that first!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
144,Aatrox,I will drown them in oceans of blood!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
145,Aatrox,There is a darkness in my heart deeper than any shadow!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
146,Aatrox,Yes Sion! I kill even that which will not die! I end all things!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
147,Aatrox,Let me end this!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
148,Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
149,Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
150,Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
151,Aatrox,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
152,Aatrox,"I am your reckoner, mortals.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
153,Aatrox,"Challenge me, mortals! I am here!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
154,Aatrox,Am I the abyss? Or did I gaze into it?,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
155,Aatrox,The only peace I seek... is death!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
156,Aatrox,"I am oblivion, I am destruction... I am doom.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
157,Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
158,Aatrox,This cursed form... This crude decaying flesh! I loathe it!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
159,Aatrox,"*Laughs* ""Let them lament... my name.""",False,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
160,Aatrox,I stood against the void. Now... I would welcome it.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
161,Aatrox,I cannot die... until all life ends.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
162,Aatrox,"Primitives worship me, hoping for mercy. I shall give them death.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
163,Aatrox,They will call me a god killer!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
164,Aatrox,I am doom!,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
165,Aatrox,My suffering... I will make it bloom.,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
166,Aatrox,"My darkness was not born, it was forged by my prison.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
167,Aatrox,"I am not a king, I am not a god, I am... worse...",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
168,Aatrox,"Those who call me enemy, I welcome them.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
169,Aatrox,"I will snuff out the light, I shall make darkness eternal!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
170,Aatrox,"All that lives, I will end!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
171,Aatrox,I march to death... Though I wish it was my own...,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
172,Aatrox,"I shall take their limbs. I will reap their beloved! I will tear from their consciousness, the will to live. Yes, this is my purpose.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
173,Aatrox,"As long as this form lives, I will punish them.",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
174,Aatrox,Every dream is a candle I must snuff out... I... am the darkness...,True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
175,Aatrox,"You are unloved, Mundo! Now, face judgement!",True,Male,"Fighter, Tank",49.2%,6.05%,4.15%,Runeterra
