,champion,voice_line,is_spoken
0,Aatrox,"Now, hear the silence of annihilation!",True
1,Aatrox,Let me end this!,True
2,Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",True
3,Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",True
4,Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",True
5,Aatrox,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",True
6,Aatrox,"I am your reckoner, mortals.",True
7,Aatrox,"Challenge me, mortals! I am here!",True
8,Aatrox,Am I the abyss? Or did I gaze into it?,True
9,Aatrox,The only peace I seek... is death!,True
10,Aatrox,"I am oblivion, I am destruction... I am doom.",True
11,Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,True
12,Aatrox,This cursed form... This crude decaying flesh! I loathe it!,True
13,Aatrox,"*Laughs* ""Let them lament... my name.""",False
14,Aatrox,I stood against the void. Now... I would welcome it.,True
15,Aatrox,I cannot die... until all life ends.,True
16,Aatrox,"Primitives worship me, hoping for mercy. I shall give them death.",True
17,Aatrox,They will call me a god killer!,True
18,Aatrox,I am doom!,True
19,Aatrox,"As long as this form lives, I will punish them.",True
20,Aatrox,My suffering... I will make it bloom.,True
21,Aatrox,"My darkness was not born, it was forged by my prison.",True
22,Aatrox,"I am not a king, I am not a god, I am... worse...",True
23,Aatrox,"Those who call me enemy, I welcome them.",True
24,Aatrox,"I will snuff out the light, I shall make darkness eternal!",True
25,Aatrox,"All that lives, I will end!",True
26,Aatrox,There is a darkness in my heart deeper than any shadow!,True
27,Aatrox,I march to death... Though I wish it was my own...,True
28,Aatrox,I will drown them in oceans of blood!,True
29,Aatrox,"Patience, Aatrox! Patience! Your freedom will come!",True
30,Aatrox,"Gods and mortals, they deserve only death!",True
31,Aatrox,Kneel mortals! So I may split your shoulders from your spine!,True
32,Aatrox,March toward vengeance... Drown this world in blood!,True
33,Aatrox,I must destroy even hope.,True
34,Aatrox,"For my imprisonment, they will suffer!",True
35,Aatrox,I will render these mortals' forms into my own!,True
36,Aatrox,Their screams will be like the soothing hum of insects at dusk.,True
37,Aatrox,"They will call me villain... Come, let me earn their hatred, again and forever.",True
38,Aatrox,"We had another name once... Now, we are Darkin.",True
39,Aatrox,I am ready to be the World-Ender!,True
40,Aatrox,"I am Aatrox, I am the World-Ender!",True
41,Aatrox,"Carnage, hate, yes! I am the World-Ender!",True
42,Aatrox,Take everything from them! Become the World-Ender!,True
43,Aatrox,"Insects, the World-Ender has come!",True
44,Aatrox,"""This is the time, the World-Ender is here!",False
45,Aatrox,Death to all! The World-Ender awaits!,True
46,Aatrox,See your World-Ender!,True
47,Aatrox,Bow worms! Bow before the World-Ender!,True
48,Aatrox,"Behold, the World-Ender!",True
49,Aatrox,I bring silence! I am the World-Ender!,True
50,Aatrox,"Quiet yourselves, the World-Ender is here!",True
51,Aatrox,There is no escape from the World-Ender!,True
52,Aatrox,"Now, I am the World-Ender!",True
53,Aatrox,"Tricked into this existence... False slave entrapped by endless life! I shall become a beast feeding on their destruction, and making them lament my unholy birth!",True
54,Aatrox,"I have no goodness left, it was taken from me, stolen! I... am the nemesis of life.",True
55,Aatrox,"They sing of love, hope and gods, all that makes them want to live! So, I will quiet that first!",True
56,Aatrox,"I shall take their limbs. I will reap their beloved! I will tear from their consciousness, the will to live. Yes, this is my purpose.",True
57,Aatrox,"Cleave through them, Aatrox! Crush their skulls! Shatter their ribs! Disembowl their very souls!"" *Heavy breathing* ""Our vengeance is at hand!",True
58,Aatrox,Every dream is a candle I must snuff out... I... am the darkness...,True
59,Aatrox,"The heavens, the endless skies folding into each other. Where are they now?",True
60,Aatrox,How far I have fallen! A god... reduced to a prisoner!,True
61,Aatrox,"Once in noble battle, I screamed against the silence. I stood as light against the darkness. Now, I serve a new master... oblivion...",True
62,Aatrox,See what beasts they have reduced us to... Creatures of flesh sustained only by this filth's blood and form!,True
63,Aatrox,"From entire villages and towns, I will rend the flesh... Until I stand... as an unholy god.",True
64,Aatrox,"March flesh, march toward them! We have horrors to sow! Lives to reap! Let me make them regret... being free.",True
65,Aatrox,Dark deeds I will do this day... Though I will carry myself as my former pride dictates!,True
66,Aatrox,"Where I was excellence, I am deformed... Recast poorly with these crude materials. But this abomination of flesh well serves my murderous intent.",True
67,Aatrox,"I shall not kiss the ground, nor let myself be wielded as a tool! I am damned, but I will remake this world in my dark image!",True
68,Aatrox,Let me tear their flesh from them. Let me break their souls... And murder their dreams.,True
69,Aatrox,I am but an unholy copy of life... A mockery of its freedom... And born in the cruel betrayal of the noble ideals I would've served.,True
70,Aatrox,"I touched the stars, and saw the glorious light of a thousand suns! Now, blinded by this elegance, how could my purpose be anything... but dark...",True
